日期	时间	磁场	温度
2018/6/2	23:44:23	-0.0002390	29.1
2018/6/2	23:44:28	-0.0002370	29.1
2018/6/2	23:44:33	-0.0002410	29.1
2018/6/2	23:44:38	-0.0002380	29.1
2018/6/2	23:44:43	-0.0002400	29.1
2018/6/2	23:44:48	-0.0002400	29.1
2018/6/2	23:44:53	-0.0002390	29.1
2018/6/2	23:44:58	-0.0002370	29.1
2018/6/2	23:45:03	-0.0002400	29.1
2018/6/2	23:45:08	-0.0002370	29.1
2018/6/2	23:45:13	-0.0002400	29.1
2018/6/2	23:45:18	-0.0002370	29.1
2018/6/2	23:45:23	-0.0002370	29.1
2018/6/2	23:45:28	-0.0002390	29.1
2018/6/2	23:45:33	-0.0002400	29.1
2018/6/2	23:45:38	-0.0002390	29.2
2018/6/2	23:45:43	-0.0002370	29.2
2018/6/2	23:45:48	-0.0002400	29.1
2018/6/2	23:45:53	-0.0002380	29.1
2018/6/2	23:45:58	-0.0002410	29.0
2018/6/2	23:46:03	-0.0002390	29.1
2018/6/2	23:46:08	-0.0002420	29.1
2018/6/2	23:46:13	-0.0002410	29.1
2018/6/2	23:46:18	-0.0002370	29.1
2018/6/2	23:46:23	-0.0002370	29.1
2018/6/2	23:46:28	-0.0002380	29.1
2018/6/2	23:46:33	-0.0002370	29.1
2018/6/2	23:46:38	-0.0002380	29.1
2018/6/2	23:46:43	-0.0002360	29.1
2018/6/2	23:46:48	-0.0002390	29.1
2018/6/2	23:46:53	-0.0002380	29.1
2018/6/2	23:46:58	-0.0002380	29.1
2018/6/2	23:47:03	-0.0002360	29.1
2018/6/2	23:47:08	-0.0002360	29.1
2018/6/2	23:47:13	-0.0002370	29.1
2018/6/2	23:47:18	-0.0002380	29.1
2018/6/2	23:47:23	-0.0002380	29.1
2018/6/2	23:47:28	-0.0002400	29.1
2018/6/2	23:47:33	-0.0002350	29.2
2018/6/2	23:47:38	-0.0002350	29.2
2018/6/2	23:47:43	-0.0002360	29.1
2018/6/2	23:47:48	-0.0002400	29.1
2018/6/2	23:47:53	-0.0002370	29.1
2018/6/2	23:47:58	-0.0002360	29.1
2018/6/2	23:48:03	-0.0002390	29.1
2018/6/2	23:48:08	-0.0002390	29.1
2018/6/2	23:48:13	-0.0002410	29.1
2018/6/2	23:48:18	-0.0002410	29.1
2018/6/2	23:48:23	-0.0002400	29.1
2018/6/2	23:48:28	-0.0002390	29.1
2018/6/2	23:48:33	-0.0002370	29.1
2018/6/2	23:48:38	-0.0002410	29.1
2018/6/2	23:48:43	-0.0002380	29.1
2018/6/2	23:48:48	-0.0002420	29.1
2018/6/2	23:48:53	-0.0002380	29.2
2018/6/2	23:48:58	-0.0002390	29.1
2018/6/2	23:49:03	-0.0002400	29.1
2018/6/2	23:49:08	-0.0002370	29.1
2018/6/2	23:49:13	-0.0002380	29.1
2018/6/2	23:49:18	-0.0002410	29.1
2018/6/2	23:49:23	-0.0002400	29.1
2018/6/2	23:49:28	-0.0002410	29.1
2018/6/2	23:49:33	-0.0002410	29.1
2018/6/2	23:49:38	-0.0002410	29.1
2018/6/2	23:49:43	-0.0002410	29.1
2018/6/2	23:49:48	-0.0002410	29.1
2018/6/2	23:49:53	-0.0002430	29.1
2018/6/2	23:49:58	-0.0002410	29.1
2018/6/2	23:50:03	-0.0002400	29.1
2018/6/2	23:50:08	-0.0002410	29.1
2018/6/2	23:50:13	-0.0002370	29.1
2018/6/2	23:50:18	-0.0002420	29.1
2018/6/2	23:50:23	-0.0002410	29.1
2018/6/2	23:50:28	-0.0002420	29.1
2018/6/2	23:50:33	-0.0002420	29.1
2018/6/2	23:50:38	-0.0002420	29.1
2018/6/2	23:50:43	-0.0002410	29.1
2018/6/2	23:50:48	-0.0002390	29.1
2018/6/2	23:50:53	-0.0002400	29.1
2018/6/2	23:50:58	-0.0002380	29.1
2018/6/2	23:51:03	-0.0002410	29.1
2018/6/2	23:51:08	-0.0002360	29.1
2018/6/2	23:51:13	-0.0002360	29.1
2018/6/2	23:51:18	-0.0002370	29.1
2018/6/2	23:51:23	-0.0002390	29.1
2018/6/2	23:51:28	-0.0002400	29.1
2018/6/2	23:51:33	-0.0002380	29.1
2018/6/2	23:51:38	-0.0002420	29.1
2018/6/2	23:51:43	-0.0002380	29.1
2018/6/2	23:51:48	-0.0002370	29.1
2018/6/2	23:51:53	-0.0002350	29.1
2018/6/2	23:51:58	-0.0002360	29.2
2018/6/2	23:52:03	-0.0002390	29.1
2018/6/2	23:52:08	-0.0002400	29.1
2018/6/2	23:52:13	-0.0002370	29.1
2018/6/2	23:52:18	-0.0002370	29.1
2018/6/2	23:52:23	-0.0002380	29.1
2018/6/2	23:52:28	-0.0002400	29.1
2018/6/2	23:52:33	-0.0002420	29.1
2018/6/2	23:52:38	-0.0002410	29.1
2018/6/2	23:52:43	-0.0002400	29.1
2018/6/2	23:52:48	-0.0002410	29.1
2018/6/2	23:52:53	-0.0002420	29.1
2018/6/2	23:52:58	-0.0002420	29.1
2018/6/2	23:53:03	-0.0002440	29.2
2018/6/2	23:53:08	-0.0002410	29.2
2018/6/2	23:53:13	-0.0002400	29.1
2018/6/2	23:53:18	-0.0002440	29.1
2018/6/2	23:53:23	-0.0002420	29.1
2018/6/2	23:53:28	-0.0002410	29.1
2018/6/2	23:53:33	-0.0002370	29.1
2018/6/2	23:53:38	-0.0002400	29.1
2018/6/2	23:53:43	-0.0002360	29.1
2018/6/2	23:53:48	-0.0002380	29.1
2018/6/2	23:53:53	-0.0002390	29.1
2018/6/2	23:53:58	-0.0002390	29.1
2018/6/2	23:54:03	-0.0002420	29.1
2018/6/2	23:54:08	-0.0002400	29.1
2018/6/2	23:54:13	-0.0002390	29.1
2018/6/2	23:54:18	-0.0002390	29.1
2018/6/2	23:54:23	-0.0002360	29.1
2018/6/2	23:54:28	-0.0002390	29.1
2018/6/2	23:54:33	-0.0002410	29.1
2018/6/2	23:54:38	-0.0002400	29.1
2018/6/2	23:54:43	-0.0002400	29.1
2018/6/2	23:54:48	-0.0002400	29.1
2018/6/2	23:54:53	-0.0002420	29.1
2018/6/2	23:54:58	-0.0002390	29.1
2018/6/2	23:55:03	-0.0002410	29.1
